"","Estimate","StdErr","nLetters.WD_obs","nLetters.WD_fix","FRT.Pred","FRT.Pred.StdErr","FRT.ci_lower","FRT.ci_upper"
"N_LM_1",-45.85,18.49,5.3,5.13,188.9,13.82,161.8,215.99
"N_PM_1",-35.83,18.52,5.18,5.13,198.92,13.84,171.79,226.05
"E_LM_1",235.48,15.34,5.31,5.13,234.75,15.27,204.83,264.67
"E_PM_1",-2.59,14.08,5.17,5.13,232.16,15.26,202.26,262.07
"H_LM_1",37.92,20.78,5.31,5.13,272.67,16.77,239.81,305.54
"H_PM_1",56.43,20.79,5.17,5.13,291.18,16.76,258.34,324.03
"N_LM_2",-81.04,18.63,4.79,5.13,153.71,13.92,126.43,181
"N_PM_2",-92.33,20.54,3.67,5.13,142.42,16.2,110.68,174.17
"E_LM_2",-24.34,14.26,4.79,5.13,210.41,15.36,180.31,240.51
"E_PM_2",-52.61,16.64,3.67,5.13,182.14,17.42,148,216.27
"H_LM_2",7.73,20.91,4.79,5.13,242.48,16.85,209.45,275.51
"H_PM_2",13.76,22.6,3.67,5.13,248.51,18.74,211.78,285.25
"N_LM_3",-84.99,18.81,6.09,5.13,149.76,14.33,121.69,177.84
"N_PM_3",-119.1,19.58,4,5.13,115.65,15.03,86.19,145.11
"E_LM_3",-27.28,14.47,6.06,5.13,207.47,15.7,176.7,238.25
"E_PM_3",-83.73,15.44,4,5.13,151.02,16.34,119,183.04
"H_LM_3",-46.63,21.06,6.08,5.13,188.12,17.17,154.47,221.77
"H_PM_3",-22.07,21.74,4,5.13,212.68,17.75,177.9,247.46
